ShopName,Area,Holiday,Rating,Target
味酒 かむなび,月曜日,大阪府 谷町六丁目駅 321m,3.72,https://tabelog.com/osaka/A2701/A270204/27013958/
やす田,不定休,兵庫県 三宮（神戸市営）駅 266m,3.82,https://tabelog.com/hyogo/A2801/A280102/28026827/
れんげ料理店,月曜日,香川県 高松市,3.69,https://tabelog.com/kagawa/A3701/A370101/37000768/
鯉とうなぎのまるます家 総本店,月曜,東京都 赤羽駅 243m,3.71,https://tabelog.com/tokyo/A1323/A132305/13003778/
島正,土曜・日曜・祝日,愛知県 伏見駅 201m,3.71,https://tabelog.com/aichi/A2301/A230102/23001853/
こいで,日・祝日,石川県 金沢市,3.83,https://tabelog.com/ishikawa/A1701/A170101/17001005/
日南,日曜・祝日 第二月曜日,東京都 五反田駅 98m,3.74,https://tabelog.com/tokyo/A1316/A131603/13001650/
金田,日曜日・祝日,東京都 自由が丘駅 100m,3.74,https://tabelog.com/tokyo/A1317/A131703/13003212/
若鶏時代 なると 本店,無し,北海道 小樽市,3.73,https://tabelog.com/hokkaido/A0106/A010601/1000906/
徳多和良,土・日・祝,東京都 北千住駅 334m,3.77,https://tabelog.com/tokyo/A1324/A132402/13008682/
銀座 いっぱし,日・祝日,東京都 新橋駅 308m,3.72,https://tabelog.com/tokyo/A1301/A130103/13041208/
大塚 みや穂,月曜日,東京都 大塚駅 158m,3.69,https://tabelog.com/tokyo/A1323/A132302/13103559/
大露路,土曜日、日曜日、祝日,東京都 新橋駅 227m,3.7,https://tabelog.com/tokyo/A1301/A130103/13007106/
かんだ光壽,日曜・祝日,東京都 神田駅 153m,3.77,https://tabelog.com/tokyo/A1310/A131002/13011272/
でんでんでん,日曜・祝日,東京都 赤坂駅 191m,3.71,https://tabelog.com/tokyo/A1308/A130801/13006104/
びんびや,日曜・祝日,大阪府 大江橋駅 320m,3.73,https://tabelog.com/osaka/A2701/A270101/27013283/
季節料理かたやま,日曜日,岡山県 岡山市北区,3.69,https://tabelog.com/okayama/A3301/A330101/33009794/
高太郎,月曜日 第一第三火曜日 イベント参加などの場合は定休日変更あり。,東京都 渋谷駅 369m,3.77,https://tabelog.com/tokyo/A1303/A130301/13123997/
